filename                           ,chroma_stft        ,rmse                ,spectral_centroid ,spectral_bandwidth,rolloff           ,zero_crossing_rate  ,mfcc1              ,mfcc2              ,mfcc3               ,mfcc4               ,mfcc5               ,mfcc6               ,mfcc7                ,mfcc8               ,mfcc9               ,mfcc10              ,mfcc11              ,mfcc12              ,mfcc13              ,mfcc14               ,mfcc15               ,mfcc16              ,mfcc17             ,mfcc18              ,mfcc19              ,mfcc20
02HereticsKillerswav               ,0.5400028228759766 ,0.21262872219085693 ,2792.2601929303487,2622.661892470206 ,5799.881595576142 ,0.12614511779218265 ,-46.99557876586914 ,59.82294845581055  ,-6.259383678436279  ,43.813316345214844  ,16.64969253540039   ,11.465968132019043  ,0.8767877817153931   ,8.980908393859863   ,-5.770107746124268  ,5.099061489105225   ,2.523848295211792   ,4.018176555633545   ,-0.5667043924331665 ,-0.023631660267710686,-10.389636039733887  ,0.9853585362434387  ,-9.493908882141113 ,-5.248091697692871  ,-1.5661956071853638 ,2.9239041805267334
03DivinityWithinwav                ,0.5274573564529419 ,0.24729236960411072 ,2607.9797835606973,2389.6407260659853,5116.485727977458 ,0.13240774054276316 ,-21.297636032104492,65.89018249511719  ,-22.576581954956055 ,46.28219223022461   ,15.053694725036621  ,10.804577827453613  ,7.404066562652588    ,9.267784118652344   ,-0.1735774725675583 ,8.600428581237793   ,5.177335262298584   ,10.340916633605957  ,0.7157039046287537  ,3.4621896743774414   ,-9.667926788330078   ,2.782644510269165   ,-5.570801734924316 ,-4.176730632781982  ,-0.31095078587532043,6.135522365570068
04BuryTheHatchetwav                ,0.589435875415802  ,0.28129780292510986 ,2619.9863639385117,2553.718960161565 ,5507.900027815403 ,0.10490412756385449 ,-13.09607219696045 ,66.24634552001953  ,-8.175660133361816  ,43.01158905029297   ,19.191715240478516  ,13.294759750366211  ,3.4227230548858643   ,13.793319702148438  ,0.8373419046401978  ,9.251507759094238   ,7.366766452789307   ,7.239340782165527   ,0.9847631454467773  ,5.523759365081787    ,-6.448731899261475   ,5.002967834472656   ,-2.6408588886260986,-2.518472194671631  ,-0.502181887626648  ,3.5751476287841797
05Nauticalwav                      ,0.5512403845787048 ,0.2599391043186188  ,2539.6028804030684,2475.6507685148763,5309.984557916506 ,0.11130053635352168 ,-26.94843292236328 ,69.88985443115234  ,-10.960783958435059 ,50.10979080200195   ,15.534669876098633  ,12.516400337219238  ,4.389949321746826    ,12.806095123291016  ,-1.6783467531204224 ,5.6237382888793945  ,4.485416889190674   ,8.477624893188477   ,1.3478482961654663  ,4.89100456237793     ,-7.166980266571045   ,5.410771369934082   ,-5.121399879455566 ,-0.8907905220985413 ,1.4351232051849365  ,4.326705455780029
06BlindfoldsAsidewav               ,0.5897956490516663 ,0.24188095331192017 ,2582.171570682626 ,2506.3679668703003,5328.734444538506 ,0.11095171004256967 ,-30.033817291259766,67.14352416992188  ,-12.12932300567627  ,46.24198532104492   ,14.610418319702148  ,10.755578994750977  ,4.642862796783447    ,10.349818229675293  ,-3.0003318786621094 ,13.219344139099121  ,9.140233039855957   ,6.318692207336426   ,-0.27904871106147766,1.889915108680725    ,-10.548081398010254  ,1.3673985004425049  ,-4.059502124786377 ,1.1491081714630127  ,3.506777763366699   ,5.552038669586182
07SheWhoMarsTheSkinOfGodswav       ,0.5756956934928894 ,0.2291766256093979  ,2673.535551410343 ,2567.6174466933603,5568.241329606472 ,0.12294256724071208 ,-25.291797637939453,70.06509399414062  ,-8.818130493164062  ,39.730560302734375  ,12.304338455200195  ,9.125364303588867   ,-6.133982181549072   ,7.828627109527588   ,1.4296541213989258  ,7.68690299987793    ,4.689325332641602   ,10.409830093383789  ,-2.7439916133880615 ,0.44590240716934204  ,-5.229002475738525   ,1.9622443914413452  ,-4.76401948928833  ,-0.9548425078392029 ,0.7138952612876892  ,5.522965908050537
08TurnSoonestToTheSeawav           ,0.516907811164856  ,0.2291630059480667  ,2652.8433493429284,2675.6247019298808,5832.706397089058 ,0.11264746698432662 ,-29.631996154785156,67.81520080566406  ,-3.4192216396331787 ,38.42010498046875   ,18.935945510864258  ,11.610520362854004  ,-0.380283921957016   ,8.69394302368164    ,-1.41977858543396   ,11.305571556091309  ,3.6756210327148438  ,4.859414100646973   ,1.4818177223205566  ,-1.3394349813461304  ,-10.553486824035645  ,6.384837627410889   ,-5.226598739624023 ,-0.11504129320383072,1.5791034698486328  ,4.026036262512207
09TheDivineSuicideOfKwav           ,0.5024266839027405 ,0.2334679812192917  ,2699.596437856561 ,2511.4589372986447,5541.8164893938665,0.13445421342879257 ,-11.673419952392578,66.49268341064453  ,-15.225696563720703 ,43.638694763183594  ,16.118484497070312  ,9.964766502380371   ,-0.15003842115402222 ,8.953829765319824   ,-5.354959964752197  ,8.064735412597656   ,-1.751222014427185  ,7.547134876251221   ,2.22883939743042    ,-2.6745638847351074  ,-10.05793285369873   ,4.994478702545166   ,-8.718985557556152 ,-0.9478756785392761 ,0.9137200117111206  ,2.296470880508423
10APlatefulOfOurDeadwav            ,0.6161144375801086 ,0.2521553635597229  ,2497.3796682595666,2328.1029329161815,4923.6868938056305,0.11466861878386223 ,-28.79670524597168 ,71.25395965576172  ,-21.363445281982422 ,60.12128829956055   ,17.770647048950195  ,7.162102699279785   ,4.12216329574585     ,6.97955846786499    ,-1.459433674812317  ,10.738429069519043  ,4.426773548126221   ,9.466120719909668   ,3.073639392852783   ,2.324293613433838    ,-3.035451650619507   ,5.886327743530273   ,-3.048386335372925 ,-0.6162070631980896 ,1.0771108865737915  ,7.227743148803711
01MozartPianoSonata1InCK2wav       ,0.2328491508960724 ,0.0214017815887928  ,1103.3558111316538,1202.27651627208  ,1968.6630957635932,0.0625396822997291  ,-441.7557678222656 ,161.8935089111328  ,-12.250336647033691 ,0.9419095516204834  ,-2.066816806793213  ,-7.499423503875732  ,-9.541651725769043   ,-13.690584182739258 ,-5.941534519195557  ,-1.671048641204834  ,-9.049328804016113  ,-12.400740623474121 ,-8.729174613952637  ,-8.543412208557129   ,-7.2423295974731445  ,-7.284133434295654  ,-8.639459609985352 ,-6.6762847900390625 ,-3.2648978233337402 ,-2.124905586242676
